[UID, JHJ0ekidS93_dk3145kIssW_Kj92rIesdDj]-
[TIME, 2015-04-29 16:06:16:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:17:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:18:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:19:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:20:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:21:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:22:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:23:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:24:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:25:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:26:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:27:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:28:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:29:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:30:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:31:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:32:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:33:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:34:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:35:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:36:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:37:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:38:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:39:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:40:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:41:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:42:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:43:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:44:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:45:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:46:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:47:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:48:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:49:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:50:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:51:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:52:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:53:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:54:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:55:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:56:74][010c, 15999][010d, 163][0110, 56]-
